key	en	zh-CN	zh-TW	de	fr	ko	ja	es	pt-BR	ru	tr
Language	Language	语言	語言	Sprache	Langue	언어	言語	Idioma	Idioma	Язык	Dil
World Builder [%s]	World Builder [%s]	世界编辑器 [%s]	世界編輯器 [%s]	World Builder [%s]	World Builder [%s]	월드 빌더 [%s]	ワールドビルダー [%s]	World Builder [%s]	World Builder [%s]	World Builder [%s]	World Builder [%s]
World Builder v%s [%s] %s = %s, %s = hide	World Builder v%s [%s] %s = %s, %s = hide	世界编辑器 v%s [%s] %s = %s，%s = 隐藏	世界編輯器 v%s [%s] %s = %s，%s = 隱藏	World Builder v%s [%s] %s = %s, %s = ausblenden	World Builder v%s [%s] %s = %s, %s = masquer	World Builder v%s [%s] %s = %s, %s = 숨기기	World Builder v%s [%s] %s = %s、%s = 非表示	World Builder v%s [%s] %s = %s, %s = ocultar	World Builder v%s [%s] %s = %s, %s = ocultar	World Builder v%s [%s] %s = %s, %s = скрыть	World Builder v%s [%s] %s = %s, %s = gizle
Browser	Browser	浏览	瀏覽	Browser	Navigateur	브라우저	ブラウザー	Navegador	Navegador	Каталог	Tarayıcı
Scene	Scene	场景	場景	Szene	Scène	장면	シーン	Escena	Cena	Сцена	Sahne
Project	Project	项目	專案	Projekt	Projet	프로젝트	プロジェクト	Proyecto	Projeto	Проект	Proje
Settings	Settings	设置	設定	Einstellungen	Paramètres	설정	設定	Ajustes	Configurações	Настройки	Ayarlar
Log	Log	日志	記錄	Protokoll	Journal	로그	ログ	Registro	Registro	Журнал	Kayıt
Travel	Travel	传送	傳送	Reisen	Déplacement	이동	移動	Viaje	Viagem	Перемещение	Seyahat
PLAY	PLAY	游玩	遊玩	SPIELEN	JOUER	플레이	プレイ	JUGAR	JOGAR	ИГРА	OYNA
EDIT	EDIT	编辑	編輯	BEARBEITEN	ÉDITER	편집	編集	EDITAR	EDITAR	РЕДАКТИРОВАТЬ	DÜZENLE
PLAY MODE	PLAY MODE	游玩模式	遊玩模式	SPIELMODUS	MODE JEU	플레이 모드	プレイモード	MODO JUEGO	MODO JOGO	РЕЖИМ ИГРЫ	OYUN MODU
EDIT MODE	EDIT MODE	编辑模式	編輯模式	BEARBEITUNGSMODUS	MODE ÉDITION	편집 모드	編集モード	MODO EDICIÓN	MODO EDIÇÃO	РЕЖИМ РЕДАКТИРОВАНИЯ	DÜZENLEME MODU
edit	edit	编辑	編輯	Bearbeiten	éditer	편집	編集	editar	editar	редактирование	düzenle
play	play	游玩	遊玩	Spielen	jouer	플레이	プレイ	jugar	jogar	играть	oyna
